"","animal","percent_of_reads","analysis"
"1","17_CC_M",68.4,"bracken_homo"
"2","18_CC_M",55.611,"bracken_homo"
"3","19_CC_M",57.707,"bracken_homo"
"4","21_CC_M",54.993,"bracken_homo"
"5","21_MM_M",68.509,"bracken_homo"
"6","22_MM_M",34.656,"bracken_homo"
"7","23_MM_M",92.331,"bracken_homo"
"8","24_CC_F",45.062,"bracken_homo"
"9","25_CC_F",51.873,"bracken_homo"
"10","26_CC_F",56.211,"bracken_homo"
"11","27_MM_F",87.48,"bracken_homo"
"12","28_MM_F",17.351,"bracken_homo"
"13","29_MM_F",56.384,"bracken_homo"
"14","17_CC_M",36.2,"unmapped_macaque"
"15","18_CC_M",42.99,"unmapped_macaque"
"16","19_CC_M",48.24,"unmapped_macaque"
"17","21_CC_M",39.56,"unmapped_macaque"
"18","21_MM_M",29.12,"unmapped_macaque"
"19","22_MM_M",57.57,"unmapped_macaque"
"20","23_MM_M",34.96,"unmapped_macaque"
"21","24_CC_F",47.68,"unmapped_macaque"
"22","25_CC_F",49.32,"unmapped_macaque"
"23","26_CC_F",41.94,"unmapped_macaque"
"24","27_MM_F",29.58,"unmapped_macaque"
"25","28_MM_F",65.72,"unmapped_macaque"
"26","29_MM_F",22.8,"unmapped_macaque"
"27","17_CC_M",42.09,"uniquely_mapped_macaque"
"28","18_CC_M",36.19,"uniquely_mapped_macaque"
"29","19_CC_M",34.25,"uniquely_mapped_macaque"
"30","21_CC_M",31.06,"uniquely_mapped_macaque"
"31","21_MM_M",42.15,"uniquely_mapped_macaque"
"32","22_MM_M",28.34,"uniquely_mapped_macaque"
"33","23_MM_M",39.6,"uniquely_mapped_macaque"
"34","24_CC_F",32.54,"uniquely_mapped_macaque"
"35","25_CC_F",32.66,"uniquely_mapped_macaque"
"36","26_CC_F",37.51,"uniquely_mapped_macaque"
"37","27_MM_F",44.35,"uniquely_mapped_macaque"
"38","28_MM_F",23.17,"uniquely_mapped_macaque"
"39","29_MM_F",31.54,"uniquely_mapped_macaque"
